year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
2018,General Assembly,N/A,Seventy-third session,77,Report of the International Criminal Court,"Argentina, Austria, Bosnia and Herzegovina, Brazil, Canada, Costa Rica, Cyprus, Denmark, Ecuador, Estonia, Finland, Georgia, Greece, Guatemala, Iceland, Ireland, Japan, Luxembourg, Mexico, Montenegro, Netherlands, New Zealand, Paraguay, Romania, Senegal, Serbia, Slovakia, Slovenia, Spain and Switzerland",N/A,Report of the International Criminal Court,"Addendum Add the following countries to the list of sponsors of the resolution: Andorra, Australia, Bangladesh, Barbados, Belgium, Botswana, Bulgaria, Chile, Colombia, Croatia, Czechia, El Salvador, France, Germany, Hungary, Italy, Latvia, Liechtenstein, Lithuania, Malta, Norway, Panama, Peru, Poland, Portugal, Republic of Korea, Saint Lucia, Samoa, San Marino, Sweden, the former Yugoslav Republic of Macedonia, Trinidad and Tobago, Ukraine, United Kingdom of Great Britain and Northern Ireland, Uruguay and Vanuatu z="" aye ater."" a il . Please recycle OQ Ue Se i ol: oT: 18-18100 1 021118 A",10/30/2018,2018_1651050,Barbados,N/A,yes
2018,General Assembly,N/A,Seventy-third session,15,Culture of peace,"Afghanistan, Algeria, Angola, Antigua and Barbuda, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bhutan, Bolivia (Plurinational State of), Botswana, Brunei Darussalam, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Central African Republic, Chad, Chile, Colombia, Comoros, Congo, Céte d’Ivoire, Cuba, Democratic People’s Republic of Korea, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Fiji, Gabon, Gambia, Ghana, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Iraq, Jamaica, Jordan, Kenya, Kuwait, Lao People’s Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Madagascar, Malawi, Malaysia, Maldives, Mali, Mauritania, Mauritius, Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, Nicaragua, Niger, Nigeria, Oman, Pakistan, Panama, Papua New Guinea, Peru, Philippines, Qatar, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Somalia, South Africa, Sri Lanka, Sudan, Suriname, Syrian Arab Republic, Thailand, Timor-Leste, Togo, Trinidad and Tobago, Tunisia, Turkmenistan, Uganda, United Arab Emirates, United Republic of Tanzania, Uzbekistan, Vanuatu, Venezuela (Bolivarian Republic of), Viet Nam, Yemen, Zambia and Zimbabwe",N/A,International Day of Multilateralism and Diplomacy for Peace,"The General Assembly, Reaffirming the Charter of the United Nations and its purposes and principles, and especially the commitment to settle disputes through peaceful means and the determination to save succeeding generations from the scourge of war, Acknowledging that the approach of multilateralism and diplomacy could reinforce the advancement of the three pillars of the United Nations, namely, sustainable development, peace and security and human rights, which are interlinked and mutually reinforcing, while observing respective mandates and the Charter, Recognizing the United Nations as the most representative international organization and the utmost expression of multilateralism, which is the main instrument to address multifaceted and complex global challenges through collective action, Fa thigh . a, Please rec eee Pek y Mt 18-21044 Hi 101218 CAC TT A Recognizing also the urgent need to promote and strengthen multilateralism and that the United Nations plays a central role in this regard, Recognizing further the role of international, regional and subregional organizations in the promotion and preservation of multilateralism and in the facilitation of diplomacy, and noting in this regard the Movement of Non-Aligned Countries and its political declaration of 26 September 2018,! Reaffirming its resolutions 53/199 of 15 December 1998 and 61/185 of 20 December 2006 on the proclamation of international years, and Economic and Social Council resolution 1980/67 of 25 July 1980 on international years and anniversaries, in particular paragraphs 1 to 10 of the annex thereto on the agreed criteria for the proclamation of international years, as well as paragraphs 13 and 14, in which it is stated that an international day or year should not be proclaimed before the basic arrangements for its organization and financing have been made, 1. Declares 24 April as the International Day of Multilateralism and Diplomacy for Peace, with effect from the seventy-third session of the General Assembly; 2. Underlines that the International Day constitutes a means to promote the values of the United Nations and to reaffirm the faith of our peoples in the purposes and principles enshrined in its Charter, to reaffirm the importance and relevance of multilateralism and international law and to advance the common goal of lasting and sustained peace through diplomacy; 3. Requests the Secretary-General to bring the present resolution to the attention of all Member States, organizations of the United Nations system and other international and regional organizations, as well as civil society, including non-governmental organizations and individuals; 4. Also requests the Secretary-General to take the necessary measures and arrangements for the United Nations to commemorate and promote the International Day; 5. Further requests the Secretary-General to recommend ways and means by which the United Nations system and the Secretariat could assist Member States, upon request, in organizing activities to commemorate and promote the International Day; 6. Invites all Member States and observers of the United Nations, organizations of the United Nations system and other international and regional organizations, as well as civil society, including non-governmental organizations and individuals, to observe the International Day in an appropriate manner and to disseminate the advantages of multilateralism and diplomacy for peace, including through educational and public awareness-raising activities; 7. Invites the President of the General Assembly to organize, on 24 April 2019, a one-day high-level plenary meeting of the General Assembly to commemorate and promote the International Day, with the participation of Member States and observers, as well as of the President of the General Assembly and the Secretary- General; 8. Also invites the President of the General Assembly to commemorate and promote, as appropriate, the International Day; 9. Stresses that the cost of all activities that may arise from the implementation of the present resolution should be met from voluntary contributions. ' A/73/407, annex. 2/2",12/06/2018,2018_1655102,Barbados,N/A,yes
2018,General Assembly,N/A,Seventy-third session,78 (a),Oceans and the law of the sea: oceans and the law of the sea,"Australia, Austria, Belgium, Belize, Cameroon, Costa Rica, Croatia, Cyprus, Czechia, Estonia, Fiji, Finland, France, Iceland, Indonesia, Ireland, Jamaica, Japan, Kiribati, Lithuania, Maldives, Malta, Marshall Islands, Mauritius, Micronesia (Federated States of), Monaco, Montenegro, Nauru, New Zealand, Norway, Palau, Panama, Papua New Guinea, Portugal, Romania, Samoa, Seychelles, Singapore, Slovakia, Spain, Sweden, Togo, Tonga, Ukraine and United Kingdom of Great Britain and Northern Ireland",N/A,Oceans and the law of the sea,"Addendum Add the following countries to the list of sponsors of the resolution: ! Albania, Bahamas, Barbados, Bulgaria, Canada, Denmark, Greece, Guinea, Latvia, Morocco, Saint Lucia, Senegal, Sri Lanka, the former Yugoslav Republic of Macedonia, United States of America and Viet Nam ' Subsequent to the adoption of the resolution, the delegation of the Philippines informed the Secretariat that it had intended to sponsor the resolution. & PRE i i “a r: a ao Foe Pitti J a] Please recycle ae J 18-21620 Hi 141218 A TT A",12/11/2018,2018_1655679,Barbados,N/A,yes
